num of tasklets, total_num_requests[s], time_sendrequests[s], time_dpu_execution[s], total_time[s], throughput[OPS/s]
12, 2399973402, 2.79894090, 5.31858158, 8.11752319, 295653408
12, 2399973402, 2.79137087, 5.31750441, 8.10887527, 295968704
12, 2399973402, 2.79718709, 5.31643867, 8.11362553, 295795424
12, 2399973402, 2.81586289, 5.31573105, 8.13159370, 295141824
12, 2399973402, 2.78804612, 5.31569004, 8.10373592, 296156416
12, 2399973402, 2.81758785, 5.31589413, 8.13348198, 295073312
12, 2399973402, 2.80997491, 5.31573772, 8.12571239, 295355456
12, 2399973402, 2.77090883, 5.31632710, 8.08723640, 296760640
12, 2399973402, 2.81829095, 5.31576204, 8.13405228, 295052608
12, 2399973402, 2.79180193, 5.31636333, 8.10816479, 295994656
12, 2399973402, 2.80248094, 5.31571198, 8.11819267, 295629024
12, 2399973402, 2.77695894, 5.31561899, 8.09257793, 296564768
12, 2399973402, 2.78832507, 5.31572914, 8.10405350, 296144800
12, 2399973402, 2.78817010, 5.31577301, 8.10394287, 296148864
12, 2399973402, 2.79908514, 5.31575680, 8.11484241, 295751072
12, 2399973402, 2.72502089, 5.31575680, 8.04077816, 298475264
12, 2399973402, 2.77474213, 5.31606770, 8.09080982, 296629568
12, 2399973402, 2.74060202, 5.31586409, 8.05646610, 297894048
12, 2399973402, 2.77191973, 5.31583881, 8.08775902, 296741440
12, 2399973402, 2.73463798, 5.31651688, 8.05115509, 298090560
12, 2399973402, 2.75004101, 5.31585598, 8.06589699, 297545760
12, 2399973402, 2.73879099, 5.31577015, 8.05456066, 297964544
12, 2399973402, 2.75332093, 5.31589079, 8.06921196, 297423520
12, 2399973402, 2.72085810, 5.31583786, 8.03669643, 298626848
12, 2399973402, 2.74670792, 5.31584740, 8.06255531, 297669088
12, 2399973402, 2.73454499, 5.31572294, 8.05026817, 298123392
12, 2399973402, 2.73924112, 5.31623507, 8.05547523, 297930688
12, 2399973402, 2.76858497, 5.31771183, 8.08629704, 296795104
12, 2399973402, 2.74183893, 5.31588459, 8.05772400, 297847552
12, 2399973402, 2.73782110, 5.31579685, 8.05361843, 297999392
12, 2399973402, 2.73907495, 5.31568718, 8.05476189, 297957088
12, 2399973402, 2.74562311, 5.31584167, 8.06146431, 297709344
12, 2399973402, 2.74328208, 5.31583881, 8.05912113, 297795904
12, 2399973402, 2.75755596, 5.31614113, 8.07369709, 297258304
12, 2399973402, 2.75661087, 5.31585503, 8.07246590, 297303616
12, 2399973402, 2.73178387, 5.31581402, 8.04759884, 298222304
12, 2399973402, 2.78841901, 5.31580591, 8.10422516, 296138528
12, 2399973402, 2.77264977, 5.31588888, 8.08853912, 296712832
12, 2399973402, 2.74827909, 5.31578016, 8.06405926, 297613568
12, 2399973402, 2.76874018, 5.31851482, 8.08725548, 296759936
12, 2399973402, 2.79447198, 5.31625509, 8.11072731, 295901120
12, 2399973402, 2.78945398, 5.31567526, 8.10512924, 296105504
12, 2399973402, 2.72136092, 5.31583691, 8.03719807, 298608224
12, 2399973402, 2.75567007, 5.31585503, 8.07152557, 297338272
12, 2399973402, 2.71677423, 5.31587648, 8.03265095, 298777248
12, 2399973402, 2.72671700, 5.31587505, 8.04259205, 298407936
12, 2399973402, 2.75413275, 5.31570721, 8.06984043, 297400352
12, 2399973402, 2.76318192, 5.31580210, 8.07898521, 297063712
12, 2399973402, 2.75052500, 5.31697369, 8.06749916, 297486656
12, 2399973402, 2.72420311, 5.31579685, 8.03999996, 298504160
12, 2399973402, 2.76639104, 5.31589127, 8.08228111, 296942592
12, 2399973402, 2.73296499, 5.31582260, 8.04878807, 298178240
12, 2399973402, 2.77105999, 5.31612492, 8.08718586, 296762496
12, 2399973402, 2.75000000, 5.31678915, 8.06678963, 297512832
12, 2399973402, 2.72571397, 5.31936121, 8.04507446, 298315872
12, 2399973402, 2.76129413, 5.31582737, 8.07712078, 297132288
12, 2399973402, 2.72378302, 5.31584024, 8.03962326, 298518144
12, 2399973402, 2.73569703, 5.31578445, 8.05148125, 298078496
12, 2399973402, 2.72495604, 5.31747341, 8.04242897, 298413984
12, 2399973402, 2.78410101, 5.31646442, 8.10056496, 296272352
12, 2399973402, 2.75668526, 5.31947184, 8.07615662, 297167776
12, 2399973402, 2.73547888, 5.31710482, 8.05258465, 298037632
12, 2399973402, 2.76101303, 5.31611776, 8.07713032, 297131936
12, 2399973402, 2.73624802, 5.31574869, 8.05199718, 298059392
12, 2399973402, 2.73803902, 5.31577396, 8.05381298, 297992192
12, 2399973402, 2.73808718, 5.31874990, 8.05683708, 297880352
12, 2399973402, 2.73068190, 5.31580544, 8.04648685, 298263520
12, 2399973402, 2.77539587, 5.31737995, 8.09277534, 296557504
12, 2399973402, 2.78150201, 5.31576681, 8.09726906, 296392928
12, 2399973402, 2.75291395, 5.31585598, 8.06877041, 297439776
12, 2399973402, 2.76708698, 5.31581497, 8.08290100, 296919808
12, 2399973402, 2.75120711, 5.31576061, 8.06696796, 297506240
12, 2399973402, 2.71723199, 5.31584263, 8.03307533, 298761472
12, 2399973402, 2.77583218, 5.31582594, 8.09165764, 296598496
12, 2399973402, 2.74618506, 5.31579399, 8.06197929, 297690336
12, 2399973402, 2.73082805, 5.31581020, 8.04663754, 298257920
12, 2399973402, 2.74931002, 5.31578636, 8.06509590, 297575296
12, 2399973402, 2.73318291, 5.31863594, 8.05181885, 298065984
12, 2399973402, 2.72917891, 5.31580973, 8.04498959, 298319008
12, 2399973402, 2.72214198, 5.31577682, 8.03791904, 298581440
12, 2399973402, 2.75261903, 5.31679821, 8.06941700, 297415968
12, 2399973402, 2.72212386, 5.31579494, 8.03791809, 298581472
12, 2399973402, 2.75377703, 5.31572914, 8.06950569, 297412672
12, 2399973402, 2.74502802, 5.31578112, 8.06080914, 297733568
12, 2399973402, 2.77858806, 5.31736612, 8.09595394, 296441088
12, 2399973402, 2.74374700, 5.31582880, 8.05957603, 297779104
12, 2399973402, 2.72340584, 5.31597424, 8.03938007, 298527168
12, 2399973402, 2.77168489, 5.31579781, 8.08748245, 296751616
12, 2399973402, 2.73209286, 5.31582975, 8.04792309, 298210272
12, 2399973402, 2.75972486, 5.31642294, 8.07614803, 297168064
12, 2399973402, 2.76030993, 5.31579876, 8.07610989, 297169472
12, 2399973402, 2.77213526, 5.31584406, 8.08797932, 296733376
12, 2399973402, 2.72709584, 5.31581879, 8.04291534, 298395936
12, 2399973402, 2.72703314, 5.31583405, 8.04286671, 298397760
12, 2399973402, 2.73100090, 5.31573200, 8.04673386, 298254336
12, 2399973402, 2.76497483, 5.31586027, 8.08083534, 296995712
12, 2399973402, 2.73740578, 5.31579781, 8.05320454, 298014720
12, 2399973402, 2.74555898, 5.31579876, 8.06135750, 297713312
12, 2399973402, 2.73507309, 5.31637526, 8.05144787, 298079712
